x1,x2,x3,x4,u,Y_v,Y_w
2.314149455220929769e-02,-7.315988028320721814e-02,-1.418197972971393384e-01,1.842921672855123150e-01,7.209667157209144195e-01,6.501280881124088529e-03,-1.192626703898108653e-03
2.175578802641124979e-02,-7.132325257664254292e-02,-1.353185164160152498e-01,1.830995405816142063e-01,6.763363645997568785e-01,6.073077542585042510e-03,-1.687113639945753141e-03
2.043295341908623122e-02,-6.950102087575646403e-02,-1.292454388734302073e-01,1.814124269416684532e-01,6.352394888402325135e-01,5.680007176069715169e-03,-2.115007722003348078e-03
1.916888439705989947e-02,-6.769779627194368044e-02,-1.235654316973604921e-01,1.792974192196651051e-01,5.974401301265011011e-01,5.319674016334458022e-03,-2.481896484554851900e-03
1.795981397312263264e-02,-6.591755197915666331e-02,-1.182457576810260341e-01,1.768155227351102532e-01,5.627109539123421600e-01,4.989773890381826726e-03,-2.793068392971748137e-03
1.680229100678100676e-02,-6.416367770401931736e-02,-1.132559837906442074e-01,1.740224543421385051e-01,5.308336773424110477e-01,4.688097997217116619e-03,-3.053515640877274562e-03
1.569315763979688486e-02,-6.243903103984745767e-02,-1.085678857934270908e-01,1.709689387012612305e-01,5.015993900851227760e-01,4.412535658139538075e-03,-3.267938335859560395e-03
1.462952769916753271e-02,-6.074598591946517995e-02,-1.041553501352875527e-01,1.677010003654016701e-01,4.748087774479129997e-01,4.161076126702342726e-03,-3.440749928761865917e-03
1.360876609035080800e-02,-5.908647817486718107e-02,-9.999427400858520998e-02,1.642602504366398042e-01,4.502722549245207206e-01,3.931809545976577835e-03,-3.576083742660607356e-03
1.262846919457388285e-02,-5.746204826349431138e-02,-9.606246446260863214e-02,1.606841666939791968e-01,4.278100230464678133e-01,3.722927138596648922e-03,-3.677800460068797461e-03
1.168644627596401864e-02,-5.587388123118034594e-02,-9.233953732401198322e-02,1.570063662339103994e-01,4.072520510814476302e-01,3.532720712297210408e-03,-3.749496430800053348e-03
1.078070189698100700e-02,-5.432284399072307562e-02,-8.880681661171477281e-02,1.532568698031103460e-01,3.884379977477279144e-01,3.359581560354374385e-03,-3.794512668116728493e-03
9.909419334182613046e-03,-5.280952000257820717e-02,-8.544723505136039843e-02,1.494623571349936175e-01,3.712170767028327711e-01,3.201998832597752198e-03,-3.815944407092874968e-03
9.070944980681554248e-03,-5.133424145042756598e-02,-8.224523621876264623e-02,1.456464127279007426e-01,3.554478741268706776e-01,3.058557448571086468e-03,-3.816651106296170548e-03
8.263773716715980266e-03,-4.989711900940124734e-02,-7.918667877019155976e-02,1.418297616216045720e-01,3.409981252625446935e-01,2.927935620068516931e-03,-3.799266781752075328e-03
7.486535225512915524e-03,-4.849806930861158549e-02,-7.625874315012304283e-02,1.380304948398524967e-01,3.277444563034215830e-01,2.808902045749642196e-03,-3.766210570476685726e-03
6.737981228031339996e-03,-4.713684019246657669e-02,-7.344984110437340064e-02,1.342642842693758110e-01,3.155720975470392986e-01,2.700312835924117971e-03,-3.719697429459489779e-03
6.016973607182720882e-03,-4.581303388705561946e-02,-7.074952826844928266e-02,1.305445868399163212e-01,3.043745732552369798e-01,2.601108220961226292e-03,-3.661748884683430072e-03
5.322473389695749069e-03,-4.452612817882825591e-02,-6.814842004748805637e-02,1.268828379552328911e-01,2.940533731970396691e-01,2.510309092185622482e-03,-3.594203753432528847e-03
4.653530551872551470e-03,-4.327549571290355279e-02,-6.563811095530243389e-02,1.232886342018003623e-01,2.845176103939014989e-01,2.427013419623827439e-03,-3.518728771626483676e-03
4.009274614030318082e-03,-4.206042151773955323e-02,-6.321109753567860645e-02,1.197699054301738786e-01,2.756836691466681977e-01,2.350392586602863265e-03,-3.436829066149338363e-03
3.388905987390738832e-03,-4.088011886164289593e-02,-6.086070494907574319e-02,1.163330763640245402e-01,2.674748470004685852e-01,2.279687677001769608e-03,-3.349858420033477446e-03
2.791688036527214482e-03,-3.973374354478807768e-02,-5.858101727207397358e-02,1.129832179439910628e-01,2.598209939049800909e-01,2.214205746992964352e-03,-3.259029285765824291e-03
2.216939820165442741e-03,-3.862040672812155906e-02,-5.636681152508100923e-02,1.097241886582252385e-01,2.526581514449672827e-01,2.153316109302486070e-03,-3.165422509053689160e-03
1.664029473118052577e-03,-3.753918639781879396e-02,-5.421349541577852316e-02,1.065587661491715493e-01,2.459281946612557057e-01,2.096446654487264805e-03,-3.069996731881227681e-03
1.132368192381614245e-03,-3.648913756091207161e-02,-5.211704876129125835e-02,1.034887694172903216e-01,2.395784786509834452e-01,2.043080230428533095e-03,-2.973597449690959516e-03
6.214047909004955829e-04,-3.546930126437428804e-02,-5.007396853086272526e-02,1.005151719675993621e-01,2.335614918269062201e-01,1.992751098164734225e-03,-2.876965703056275081e-03
1.306207831748125653e-04,-3.447871252638762957e-02,-4.808121743269799103e-02,9.763820626454308704e-02,2.278345174320013378e-01,1.945041479367470849e-03,-2.780746389209970415e-03
-3.404740322703924738e-04,-3.351640726479843818e-02,-4.613617595333052018e-02,9.485745987533311663e-02,2.223593046445381805e-01,1.899578208169959426e-03,-2.685496183318883401e-03
-7.923455275576491135e-04,-3.258142830390817896e-02,-4.423659774516056076e-02,9.217196369201423323e-02,2.171017503712761310e-01,1.856029497700820152e-03,-2.591691063432766118e-03
-1.225438770178866564e-03,-3.167283053681818616e-02,-4.238056824745974061e-02,8.958027262858146711e-02,2.120315926100896087e-01,1.814101829532538401e-03,-2.499733436632331496e-03
-1.640181149486007010e-03,-3.078968531657089516e-02,-4.056646641792720220e-02,8.708053919194913561e-02,2.071221160688662410e-01,1.773536972330659600e-03,-2.409958867053127451e-03
-2.036985135409625190e-03,-2.993108414534627684e-02,-3.879292944559654260e-02,8.467058032489600816e-02,2.023498705515352214e-01,1.734109134253307427e-03,-2.322642409235992078e-03
-2.416250698549542858e-03,-2.909614172700886181e-02,-3.705882031134323518e-02,8.234793791566001608e-02,1.976944024661758947e-01,1.695622252115447370e-03,-2.238004552627084753e-03
-2.778367419429376116e-03,-2.828399844438389196e-02,-3.536319805922778781e-02,8.010993336303293133e-02,1.931379996708976476e-01,1.657907418965161306e-03,-2.156216785093964527e-03
-3.123716313330772692e-03,-2.749382231879241717e-02,-3.370529064026262650e-02,7.795371657793896680e-02,1.886654497506384254e-01,1.620820450519748490e-03,-2.077406785039176418e-03
-3.452671395736882972e-03,-2.672481050561409388e-02,-3.208447018974287801e-02,7.587630979289979039e-02,1.842638117104989925e-01,1.584239589860529651e-03,-2.001663253120469776e-03
-3.765601012029023108e-03,-2.597619037598788982e-02,-3.050023059988234836e-02,7.387464653977932061e-02,1.799222009777957099e-01,1.548063348877765782e-03,-1.929040395746831060e-03
-4.062868953705461687e-03,-2.524722023121858325e-02,-2.895216725100458258e-02,7.194560614403248955e-02,1.756315875244103264e-01,1.512208484177570561e-03,-1.859562073440262919e-03
-4.344835382035235061e-03,-2.453718969304062580e-02,-2.743995876682701202e-02,7.008604407059222663e-02,1.713846068523004196e-01,1.476608104502331181e-03,-1.793225627858524573e-03
-4.611857578730033970e-03,-2.384541980960921265e-02,-2.596335066232468083e-02,6.829281844273370206e-02,1.671753835270049782e-01,1.441209906161731308e-03,-1.730005401786319230e-03
-4.864290541919617968e-03,-2.317126291394710699e-02,-2.452214075616294953e-02,6.656281304094738283e-02,1.629993668957129271e-01,1.405974532514505521e-03,-1.669855966745625864e-03
-5.102487444455907142e-03,-2.251410226857912533e-02,-2.311616622364844401e-02,6.489295707420175696e-02,1.588531785872524527e-01,1.370874053173737339e-03,-1.612715073063514248e-03
-5.326799970352086126e-03,-2.187335152723729817e-02,-2.174529217047470667e-02,6.328024200113824271e-02,1.547344713598361732e-01,1.335890558317336108e-03,-1.558506337296233779e-03
-5.537578543988900398e-03,-2.124845404181893022e-02,-2.040940161215737056e-02,6.172173566384200893e-02,1.506417988382455497e-01,1.301014863266961030e-03,-1.507141681850142356e-03
-5.735172465593492766e-03,-2.063888204022838388e-02,-1.910838674889040953e-02,6.021459398199186658e-02,1.465744956643993402e-01,1.266245318343298815e-03,-1.458523541481009100e-03
-5.919929965418416207e-03,-2.004413569832889236e-02,-1.784214143054711071e-02,5.875607044051085748e-02,1.425325675729911534e-01,1.231586718904196381e-03,-1.412546851113763435e-03
-6.092198188021195025e-03,-1.946374212697230335e-02,-1.661055471164291433e-02,5.734352358939709404e-02,1.385165908968514215e-01,1.197049310421657506e-03,-1.369100829108203798e-03
-6.252323117068686077e-03,-1.889725429295878098e-02,-1.541350540122125683e-02,5.597442276028889024e-02,1.345276210040468323e-01,1.162647883446436825e-03,-1.328070569720937733e-03
-6.400649450165910199e-03,-1.834424989080202587e-02,-1.425085751777482000e-02,5.464635219056795251e-02,1.305671091698246689e-01,1.128400953337355128e-03,-1.289338458090392991e-03
-6.537520432335749455e-03,-1.780433018033466402e-02,-1.312245656443746487e-02,5.335701373247755952e-02,1.266368273911085141e-01,1.094330019695371331e-03,-1.252785420606278288e-03
-6.663277655953590492e-03,-1.727711880347802820e-02,-1.202812654474209354e-02,5.210422831187128123e-02,1.227388006962046030e-01,1.060458900907298649e-03,-1.218292022277626951e-03
-6.778260834166914724e-03,-1.676226059191301965e-02,-1.096766764383479489e-02,5.088593628959365428e-02,1.188752462414632977e-01,1.026813136609586175e-03,-1.185739427609022734e-03
